actual,proposed
0.30000463128089905,0.18552790582180023
0.3015044629573822,0.1855429857969284
0.30300432443618774,0.18555402755737305
0.3045041859149933,0.1855674833059311
0.30600404739379883,0.18557804822921753
0.30750390887260437,0.18559226393699646
0.3090038001537323,0.1856040209531784
0.15238399803638458,0.17889665067195892
0.15276455879211426,0.17758698761463165
0.15529286861419678,0.17247578501701355
0.15776026248931885,0.1723843216896057
0.1601690798997879,0.17004449665546417
0.15519747138023376,0.16774822771549225
0.1531791090965271,0.16547995805740356
0.1467219442129135,0.1631253957748413
0.13588865101337433,0.16081814467906952
0.12945690751075745,0.158386692404747
0.11864502727985382,0.15582139790058136
0.10351292043924332,0.15340545773506165
0.0841178223490715,0.1505666822195053
0.06923216581344604,0.1478971689939499
0.05006934329867363,0.14511632919311523
0.026684356853365898,0.14199014008045197
0.003488851711153984,0.13884127140045166
0.0,0.13574060797691345
0.0,0.13237576186656952
0.0,0.12864677608013153
0.0,0.12494989484548569
0.0,0.12113886326551437
0.0,0.11720707267522812
0.0,0.11330883949995041
0.0,0.10900907963514328
0.0,0.10478485375642776
0.0,0.10070855915546417
0.0,0.09624307602643967
0.0,0.09201451390981674
0.0,0.0874372124671936
0.0,0.08320485800504684
0.0,0.07840096950531006
0.0,0.07411862909793854
0.0,0.06960150599479675
0.0,0.06511667370796204
0.0,0.060477398335933685
0.0,0.05628330633044243
0.0,0.05185157433152199
0.0,0.04729725047945976
0.0,0.04312252625823021
0.0,0.038770340383052826
0.0,0.034537699073553085
0.0,0.030396239832043648
0.0,0.027455396950244904
0.0,0.021565178409218788
0.0,0.0
0.0,0.010686918161809444
0.0,0.01015442330390215
0.0,0.0033702021464705467
0.0,0.0030231422279030085
0.0,0.000620105245616287
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.23331435024738312
0.0,0.0742199644446373
0.00997406430542469,0.07332366704940796
0.022319070994853973,0.07207700610160828
0.043141577392816544,0.07143031805753708
0.05925390496850014,0.07061322778463364
0.075090691447258,0.06995223462581635
0.09938178211450577,0.06971883773803711
0.11894083023071289,0.06940708309412003
0.1294858455657959,0.06928040087223053
0.15294551849365234,0.06934051960706711
0.1629919409751892,0.06923335045576096
0.17725719511508942,0.06939885020256042
0.19132819771766663,0.06962297111749649
0.20085477828979492,0.0696621760725975
0.20590564608573914,0.0698779970407486
0.2109055519104004,0.07004374265670776
0.22021591663360596,0.07033134996891022
0.2207016497850418,0.07058744132518768
0.22556547820568085,0.07097755372524261
0.2260282337665558,0.07105050981044769
0.22215233743190765,0.07131309807300568
0.21835651993751526,0.07143046706914902
0.20591920614242554,0.07126657664775848
0.20239366590976715,0.07122959196567535
0.1858556866645813,0.07085272669792175
0.17391927540302277,0.07064612954854965
0.1577950268983841,0.07008128613233566
0.13753558695316315,0.06898194551467896
0.11754992604255676,0.06849745661020279
0.09782540798187256,0.06769046187400818
0.07399089634418488,0.06642111390829086
0.04609508067369461,0.06502296030521393
0.018543172627687454,0.063079833984375
3.7017241993453354e-05,0.06239476799964905
0.0,0.06033193692564964
0.0,0.057474080473184586
0.0,0.05517767369747162
0.0,0.050059739500284195
0.0,0.049902476370334625
0.0,0.04589835926890373
0.0,0.04278719797730446
0.0,0.040010903030633926
0.0,0.03549104556441307
0.0,0.03340788185596466
0.0,0.02829759009182453
0.0,0.025127772241830826
0.0,0.020405791699886322
0.0,0.01824372634291649
0.0,0.009202725253999233
0.0,0.007903502322733402
0.0,0.0039011682383716106
0.0,0.0003455521073192358
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.21120770275592804
0.0,0.049366146326065063
0.0,0.04706228896975517
0.0,0.045042503625154495
0.0,0.04347222298383713
0.0,0.041460853070020676
0.0,0.04004131257534027
0.0,0.0389266237616539
0.0,0.03845720365643501
0.0,0.028685472905635834
0.0,0.03583693876862526
0.0,0.034546878188848495
0.0,0.034058578312397
0.0,0.03330070525407791
0.0,0.03263211250305176
0.0,0.03210599347949028
0.004526791628450155,0.03175446391105652
0.014730039983987808,0.03137335181236267
0.024763567373156548,0.0311279334127903
0.030275912955403328,0.03085915371775627
0.031334370374679565,0.030531717464327812
0.036721475422382355,0.03030714951455593
0.037659935653209686,0.03004085272550583
0.03857304900884628,0.02978711761534214
0.04817967116832733,0.029712961986660957
0.05328323692083359,0.029612910002470016
0.06266822665929794,0.029641231521964073
0.05884190648794174,0.029474180191755295
0.050709523260593414,0.02919776737689972
0.03832881897687912,0.02877958118915558
0.030473140999674797,0.028373412787914276
0.027074240148067474,0.02798731066286564
0.019349420443177223,0.02752290852367878
0.01607506535947323,0.02708621136844158
0.012827565893530846,0.02662619575858116
0.013964492827653885,0.026253698393702507
0.006347143556922674,0.02569938264787197
0.0031744157895445824,0.025212787091732025
2.2924399672774598e-05,0.024710984900593758
0.0,0.024177351966500282
0.0,0.023586535826325417
0.0,0.022978918626904488
0.0,0.022333422675728798
0.0,0.021703828126192093
0.24316257238388062,0.021059386432170868
0.24158048629760742,0.2900231182575226
0.240006223320961,0.12088338285684586
0.238438680768013,0.12029090523719788
0.2412363886833191,0.11969281733036041
0.23962022364139557,0.11903959512710571
0.23801171779632568,0.11843488365411758
